epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2327.99,0.90052,0.57028,0.91652,0.88368,0.78627,0.85809,0.63903,0.79185,0.49191,0.87981,0.000152339,0.000152339,0.000152339
83,2356.1,0.89861,0.56787,0.9154,0.86495,0.79529,0.85741,0.63844,0.791,0.49101,0.87925,0.000144726,0.000144726,0.000144726
84,2384.19,0.89297,0.56516,0.91388,0.87689,0.79571,0.85928,0.63929,0.78795,0.48875,0.87892,0.000137113,0.000137113,0.000137113
85,2412.63,0.89775,0.56742,0.91581,0.87663,0.79208,0.85979,0.64081,0.78679,0.48827,0.87835,0.0001295,0.0001295,0.0001295
86,2440.88,0.88655,0.56094,0.91198,0.87775,0.7927,0.86039,0.6424,0.78459,0.48632,0.87716,0.000121887,0.000121887,0.000121887
87,2468.95,0.8864,0.55817,0.91323,0.87662,0.7926,0.86046,0.64339,0.78358,0.48563,0.8773,0.000114273,0.000114273,0.000114273
88,2497.16,0.88144,0.55495,0.91303,0.87218,0.79823,0.86076,0.64315,0.78155,0.48406,0.87642,0.00010666,0.00010666,0.00010666
89,2525.31,0.88449,0.55857,0.91128,0.8813,0.79366,0.86218,0.64539,0.77972,0.48294,0.87587,9.90472e-05,9.90472e-05,9.90472e-05
90,2553.9,0.88206,0.5559,0.91139,0.87312,0.79787,0.86196,0.64513,0.77838,0.48293,0.87574,9.14341e-05,9.14341e-05,9.14341e-05
91,2582.31,0.86571,0.52943,0.9032,0.87607,0.79081,0.85981,0.63972,0.78774,0.48658,0.87666,8.3821e-05,8.3821e-05,8.3821e-05
92,2609.9,0.85015,0.52096,0.89735,0.86781,0.79715,0.85923,0.64102,0.78701,0.48586,0.87636,7.62079e-05,7.62079e-05,7.62079e-05
93,2637.72,0.84626,0.51885,0.89723,0.86341,0.79918,0.8602,0.64201,0.78565,0.48507,0.87599,6.85948e-05,6.85948e-05,6.85948e-05
94,2665.3,0.83814,0.51353,0.89453,0.86897,0.79906,0.86085,0.64391,0.7831,0.48277,0.87495,6.09817e-05,6.09817e-05,6.09817e-05
95,2692.9,0.83429,0.51411,0.89271,0.86757,0.80105,0.86102,0.64314,0.78076,0.482,0.87342,5.33686e-05,5.33686e-05,5.33686e-05
96,2720.03,0.83592,0.51078,0.89386,0.87251,0.79978,0.86183,0.64529,0.77941,0.48088,0.87286,4.57555e-05,4.57555e-05,4.57555e-05
97,2747.57,0.83058,0.51117,0.89294,0.87759,0.79731,0.86221,0.64691,0.77824,0.48016,0.87213,3.81424e-05,3.81424e-05,3.81424e-05
98,2775.51,0.8284,0.50693,0.89105,0.87463,0.79954,0.86318,0.64896,0.7764,0.47912,0.87145,3.05293e-05,3.05293e-05,3.05293e-05
99,2803.16,0.82505,0.50519,0.89043,0.8745,0.80106,0.8629,0.64953,0.7751,0.47813,0.87136,2.29162e-05,2.29162e-05,2.29162e-05
100,2830.16,0.82309,0.50353,0.89079,0.87607,0.80054,0.86317,0.65004,0.7741,0.47734,0.8711,1.53031e-05,1.53031e-05,1.53031e-05
