epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1655.1,0.9113,0.5801,0.92195,0.85539,0.78128,0.84992,0.62194,0.81312,0.50836,0.88983,0.000335053,0.000335053,0.000335053
59,1683.1,0.91073,0.58025,0.92079,0.86386,0.78805,0.85491,0.63014,0.8095,0.50648,0.8882,0.00032744,0.00032744,0.00032744
60,1711.34,0.90966,0.5802,0.92045,0.85595,0.79264,0.85293,0.6303,0.80469,0.50399,0.88442,0.000319827,0.000319827,0.000319827
61,1739.55,0.9028,0.57413,0.91766,0.85845,0.79209,0.85356,0.63191,0.80304,0.50161,0.88502,0.000312214,0.000312214,0.000312214
62,1767.79,0.90239,0.57396,0.91939,0.84905,0.79267,0.85397,0.63106,0.80006,0.5024,0.88457,0.000304601,0.000304601,0.000304601
63,1796.13,0.90338,0.57143,0.91831,0.85365,0.7947,0.8554,0.63475,0.79679,0.49779,0.88254,0.000296988,0.000296988,0.000296988
64,1824.37,0.89868,0.57242,0.91866,0.85831,0.79441,0.85431,0.63472,0.79504,0.49616,0.88263,0.000289375,0.000289375,0.000289375
65,1852.62,0.89102,0.56538,0.916,0.84586,0.79858,0.85487,0.63742,0.79192,0.49404,0.88296,0.000281762,0.000281762,0.000281762
66,1880.95,0.89349,0.5678,0.91612,0.86202,0.79646,0.85944,0.64242,0.78685,0.4909,0.88059,0.000274148,0.000274148,0.000274148
67,1909.17,0.88094,0.55761,0.91118,0.86057,0.79766,0.85931,0.6437,0.78529,0.48938,0.88028,0.000266535,0.000266535,0.000266535
68,1937.74,0.88952,0.56245,0.91405,0.86609,0.7983,0.86126,0.64536,0.7825,0.48879,0.87733,0.000258922,0.000258922,0.000258922
69,1966.17,0.88338,0.55921,0.91182,0.86027,0.80238,0.86268,0.64673,0.77969,0.48493,0.87733,0.000251309,0.000251309,0.000251309
70,1994.27,0.88418,0.55912,0.9124,0.86028,0.80642,0.86253,0.64934,0.77655,0.48392,0.87939,0.000243696,0.000243696,0.000243696
71,2022.1,0.87882,0.55443,0.91061,0.87164,0.79722,0.86408,0.65132,0.7728,0.48164,0.87669,0.000236083,0.000236083,0.000236083
72,2050.41,0.87646,0.55301,0.91183,0.8587,0.80898,0.86391,0.65008,0.77192,0.48101,0.87513,0.00022847,0.00022847,0.00022847
73,2078.45,0.86508,0.5479,0.9083,0.86155,0.8089,0.8666,0.65287,0.77158,0.47961,0.87499,0.000220857,0.000220857,0.000220857
74,2107.25,0.86908,0.54826,0.90847,0.87292,0.80258,0.86656,0.65368,0.76789,0.47911,0.87318,0.000213244,0.000213244,0.000213244
75,2135.5,0.86812,0.54905,0.909,0.85428,0.80688,0.86597,0.65411,0.76636,0.47764,0.8723,0.000205631,0.000205631,0.000205631
76,2163.88,0.86844,0.54902,0.90875,0.86042,0.80998,0.86748,0.65612,0.76289,0.47444,0.87442,0.000198018,0.000198018,0.000198018
77,2192.26,0.86254,0.54511,0.90814,0.86042,0.81075,0.86826,0.65833,0.76286,0.4749,0.8726,0.000190404,0.000190404,0.000190404
78,2218.8,0.86287,0.54492,0.90815,0.8666,0.80951,0.86809,0.65571,0.76011,0.47324,0.87119,0.000182791,0.000182791,0.000182791
79,2245.27,0.85618,0.54001,0.9067,0.87396,0.81,0.86934,0.65942,0.75821,0.47216,0.8717,0.000175178,0.000175178,0.000175178
80,2273.11,0.85329,0.53765,0.90422,0.87909,0.80552,0.87095,0.66307,0.75402,0.47017,0.8687,0.000167565,0.000167565,0.000167565
