epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,222.21,0.84724,0.74864,0.99578,0.78301,0.65841,0.71371,0.46817,1.13557,0.99489,1.15717,0.000289884,0.000289884,0.000289884
62,225.926,0.85886,0.761,0.98972,0.77351,0.66853,0.71561,0.4653,1.1207,1.01724,1.14539,0.000282815,0.000282815,0.000282815
63,229.53,0.85666,0.75677,0.98782,0.79805,0.6582,0.72729,0.47365,1.12977,1.00101,1.16627,0.000275747,0.000275747,0.000275747
64,233.214,0.84542,0.74446,0.98768,0.78253,0.65379,0.70744,0.45065,1.14078,1.00874,1.16784,0.000268678,0.000268678,0.000268678
65,236.908,0.87042,0.7493,0.99165,0.78111,0.66585,0.726,0.46162,1.15468,0.9891,1.16797,0.00026161,0.00026161,0.00026161
66,240.605,0.85579,0.72861,0.98467,0.7818,0.68475,0.71924,0.47123,1.13297,0.98862,1.15035,0.000254541,0.000254541,0.000254541
67,244.179,0.83687,0.72197,0.98564,0.7989,0.69289,0.75008,0.48864,1.13067,0.94504,1.14167,0.000247472,0.000247472,0.000247472
68,247.77,0.85387,0.7259,0.98542,0.73423,0.69336,0.72311,0.4792,1.14376,0.94772,1.15814,0.000240404,0.000240404,0.000240404
69,251.192,0.82813,0.71759,0.9846,0.80049,0.69101,0.73692,0.48075,1.1385,0.9493,1.16358,0.000233335,0.000233335,0.000233335
70,254.601,0.8459,0.71642,0.99251,0.80481,0.67743,0.74203,0.48391,1.10613,0.94891,1.14527,0.000226267,0.000226267,0.000226267
71,258.084,0.8337,0.7096,0.98041,0.78431,0.69185,0.73544,0.48629,1.12305,0.9751,1.14983,0.000219198,0.000219198,0.000219198
72,261.799,0.80751,0.68711,0.96653,0.78844,0.67882,0.73977,0.48575,1.13095,0.96617,1.16339,0.000212129,0.000212129,0.000212129
73,265.513,0.83664,0.70408,0.97971,0.76383,0.69293,0.73618,0.49015,1.11919,0.95485,1.14512,0.000205061,0.000205061,0.000205061
74,269.22,0.83881,0.69565,0.98197,0.78261,0.68343,0.73848,0.48609,1.11458,0.96458,1.14959,0.000197992,0.000197992,0.000197992
75,272.942,0.83279,0.6863,0.97885,0.79402,0.70533,0.75203,0.49321,1.11179,0.95736,1.15238,0.000190924,0.000190924,0.000190924
76,276.745,0.83104,0.69358,0.97466,0.81339,0.70845,0.75088,0.49654,1.11006,0.93208,1.1441,0.000183855,0.000183855,0.000183855
77,280.536,0.81183,0.67011,0.96987,0.79313,0.70197,0.74841,0.49732,1.10043,0.94031,1.13281,0.000176786,0.000176786,0.000176786
78,284.373,0.80385,0.66173,0.96716,0.81915,0.69333,0.75363,0.49713,1.11189,0.9441,1.1415,0.000169718,0.000169718,0.000169718
79,288.185,0.79741,0.66276,0.96604,0.78594,0.69515,0.73728,0.49032,1.10546,0.94492,1.14521,0.000162649,0.000162649,0.000162649
80,291.897,0.79164,0.6578,0.96361,0.81518,0.67646,0.73995,0.49382,1.10011,0.95186,1.13309,0.000155581,0.000155581,0.000155581
81,295.594,0.80106,0.6526,0.96358,0.80384,0.69216,0.73633,0.48864,1.11449,0.94994,1.1461,0.000148512,0.000148512,0.000148512
82,299.263,0.79912,0.65362,0.96139,0.79025,0.70316,0.74808,0.4897,1.11937,0.93861,1.14883,0.000141443,0.000141443,0.000141443
83,302.661,0.77623,0.63856,0.95974,0.8051,0.71136,0.7432,0.4923,1.12145,0.94116,1.14825,0.000134375,0.000134375,0.000134375
84,305.994,0.7954,0.6611,0.96699,0.80645,0.68946,0.74045,0.49507,1.1033,0.94122,1.14033,0.000127306,0.000127306,0.000127306
85,309.392,0.76944,0.62892,0.96003,0.7723,0.72759,0.75113,0.49955,1.10302,0.91889,1.14226,0.000120238,0.000120238,0.000120238
86,312.981,0.78202,0.62767,0.96175,0.78975,0.70739,0.75209,0.50065,1.10534,0.92337,1.1478,0.000113169,0.000113169,0.000113169
87,316.815,0.78659,0.63765,0.96364,0.80332,0.69144,0.74691,0.50122,1.10349,0.92792,1.14588,0.0001061,0.0001061,0.0001061
88,320.545,0.78569,0.64169,0.95025,0.80806,0.70985,0.75814,0.50019,1.10778,0.93277,1.15075,9.90318e-05,9.90318e-05,9.90318e-05
89,324.084,0.76772,0.62758,0.95366,0.78379,0.71528,0.74942,0.50274,1.10064,0.92518,1.14991,9.19632e-05,9.19632e-05,9.19632e-05
90,327.924,0.78367,0.63223,0.9556,0.80543,0.70614,0.75291,0.50495,1.1003,0.92835,1.1464,8.48946e-05,8.48946e-05,8.48946e-05
91,332.114,0.76083,0.57455,0.93976,0.79973,0.69168,0.74842,0.49806,1.10795,0.93437,1.14839,7.7826e-05,7.7826e-05,7.7826e-05
92,335.467,0.75415,0.56407,0.93834,0.81205,0.67722,0.74071,0.49469,1.10256,0.91051,1.14323,7.07574e-05,7.07574e-05,7.07574e-05
93,338.754,0.7485,0.54715,0.93428,0.80369,0.71089,0.75674,0.49795,1.10048,0.91106,1.14695,6.36888e-05,6.36888e-05,6.36888e-05
94,342.074,0.73565,0.53189,0.93054,0.81455,0.68358,0.74687,0.4964,1.09339,0.9184,1.13885,5.66202e-05,5.66202e-05,5.66202e-05
95,345.42,0.72905,0.53726,0.93193,0.79138,0.71277,0.74844,0.49991,1.10217,0.91411,1.14299,4.95516e-05,4.95516e-05,4.95516e-05
96,348.936,0.72636,0.53324,0.93079,0.80367,0.70533,0.74986,0.50083,1.10174,0.90318,1.14799,4.2483e-05,4.2483e-05,4.2483e-05
97,352.502,0.72347,0.51892,0.92511,0.83751,0.69514,0.75553,0.49753,1.10527,0.922,1.14341,3.54144e-05,3.54144e-05,3.54144e-05
98,356.079,0.71839,0.52013,0.91938,0.81945,0.69411,0.74617,0.5007,1.10148,0.91094,1.14267,2.83458e-05,2.83458e-05,2.83458e-05
99,359.652,0.71659,0.51217,0.92861,0.82217,0.70037,0.75121,0.50127,1.09887,0.9121,1.14009,2.12772e-05,2.12772e-05,2.12772e-05
100,363.218,0.71804,0.52167,0.92313,0.80455,0.70623,0.74923,0.50134,1.09415,0.91067,1.13733,1.42086e-05,1.42086e-05,1.42086e-05
